"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","0","W00","World","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6618003","false","8","kg","6618003","false","6618003","false","0","false","5148295","5086306","5148295","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","40","AUT","Austria","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","151518","false","8","kg","151518","false","151518","false","0","false","114279","114279","114279","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","56","BEL","Belgium","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","450772","false","8","kg","450772","false","450772","false","0","false","250048","242389","250048","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","152","CHL","Chile","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23","false","8","kg","23","false","23","false","0","false","54","50","54","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","156","CHN","China","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20562","false","8","kg","20562","false","20562","false","0","false","45735","42306","45735","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","251","FRA","France","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2536","false","8","kg","2536","false","2536","false","0","false","7160","6881","7160","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","276","DEU","Germany","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","639850","false","8","kg","639850","false","639850","false","0","false","844330","844330","844330","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","348","HUN","Hungary","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1220","false","8","kg","1220","false","1220","false","0","false","665","650","665","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","380","ITA","Italy","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","585868","false","8","kg","585868","false","585868","false","0","false","633177","604016","633177","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","417","KGZ","Kyrgyzstan","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","198","false","8","kg","198","false","198","false","0","false","795","731","795","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","528","NLD","Netherlands","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","960690","false","8","kg","960690","false","960690","false","0","false","636117","617727","636117","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","616","POL","Poland","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3109180","false","8","kg","3109180","false","3109180","false","0","false","1888707","1888707","1888707","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","642","ROU","Romania","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","156","false","8","kg","156","false","156","false","0","false","433","418","433","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","688","SRB","Serbia","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32110","false","8","kg","32110","false","32110","false","0","false","31760","31760","31760","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","703","SVK","Slovakia","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","643944","false","8","kg","643944","false","643944","false","0","false","650647","650647","650647","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","724","ESP","Spain","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19304","false","8","kg","19304","false","19304","false","0","false","44243","41279","44243","0","false","true"
"C","M","20210101","2021","1","202101","203","CZE","Czechia","M","Import","792","TUR","Türkiye","0","W00","World","H5","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","72","false","8","kg","72","false","72","false","0","false","145","136","145","0","false","true"
