"YEAR_MO","YEAR","MONTH","REPORTER_CODE","REPORTER_TXT","FLOW","PARTNER_CODE","PARTNER_TXT","CMD_CODE","CMD_TXT","NET_WGT","PRIM_VALUE"
"2011-02-01","2011","2","CZE","Czechia","Import","ESP","Spain","080810","Fruit, edible; apples, fresh",5600,4586.064
"2011-02-01","2011","2","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",308200,277675.256
"2011-02-01","2011","2","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",189200,142236.229
"2011-02-01","2011","2","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",2891600,2461447.011
"2011-02-01","2011","2","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",66500,49204.645
"2011-02-01","2011","2","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",1149000,976763.387
"2011-02-01","2011","2","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",278000,285059.365
"2011-02-01","2011","2","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",652200,590496.687
"2011-02-01","2011","2","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",736900,741481.925
"2011-02-01","2011","2","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",1419400,1062984.12
"2011-02-01","2011","2","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",627300,348936.685
"2011-02-01","2011","2","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",19900,17443.422
"2011-02-01","2011","2","CZE","Czechia","Export","RUS","Russian Federation","0808","Apples, pears and quinces; fresh",239200,199725.817
"2011-02-01","2011","2","CZE","Czechia","Export","RUS","Russian Federation","080810","Fruit, edible; apples, fresh",239200,199725.817
"2011-02-01","2011","2","CZE","Czechia","Export","POL","Poland","080810","Fruit, edible; apples, fresh",19700,17252.336
"2011-02-01","2011","2","CZE","Czechia","Export","DEU","Germany","080810","Fruit, edible; apples, fresh",627100,348568.162
"2011-02-01","2011","2","CZE","Czechia","Export","SVK","Slovakia","080810","Fruit, edible; apples, fresh",533400,497437.805
"2011-02-01","2011","2","CZE","Czechia","Export","SVK","Slovakia","0808","Apples, pears and quinces; fresh",0,619487.163
"2011-02-01","2011","2","CZE","Czechia","Export","W00","World","0808","Apples, pears and quinces; fresh",0,1185593.087
"2011-03-01","2011","3","CZE","Czechia","Import","HUN","Hungary","0808","Apples, pears and quinces; fresh",0,349.975
"2011-03-01","2011","3","CZE","Czechia","Import","NLD","Netherlands","0808","Apples, pears and quinces; fresh",0,792735.372
"2011-03-01","2011","3","CZE","Czechia","Import","HUN","Hungary","080810","Fruit, edible; apples, fresh",0,349.975
"2011-03-01","2011","3","CZE","Czechia","Import","W00","World","080810","Fruit, edible; apples, fresh",0,5210735.778
"2011-03-01","2011","3","CZE","Czechia","Import","W00","World","0808","Apples, pears and quinces; fresh",0,6989280.73
"2011-03-01","2011","3","CZE","Czechia","Import","ESP","Spain","0808","Apples, pears and quinces; fresh",1900,839.94
"2011-03-01","2011","3","CZE","Czechia","Import","BEL","Belgium","0808","Apples, pears and quinces; fresh",601800,525886.434
"2011-03-01","2011","3","CZE","Czechia","Import","FRA","France","0808","Apples, pears and quinces; fresh",35500,63443.468
"2011-03-01","2011","3","CZE","Czechia","Import","ITA","Italy","0808","Apples, pears and quinces; fresh",3588400,3078520.09
"2011-03-01","2011","3","CZE","Czechia","Import","AUT","Austria","0808","Apples, pears and quinces; fresh",449000,411696.591
"2011-03-01","2011","3","CZE","Czechia","Import","SVK","Slovakia","0808","Apples, pears and quinces; fresh",848700,787121.773
"2011-03-01","2011","3","CZE","Czechia","Import","POL","Poland","0808","Apples, pears and quinces; fresh",68300,65165.345
"2011-03-01","2011","3","CZE","Czechia","Import","ESP","Spain","080810","Fruit, edible; apples, fresh",1900,839.94
"2011-03-01","2011","3","CZE","Czechia","Import","BEL","Belgium","080810","Fruit, edible; apples, fresh",342600,284361.687
"2011-03-01","2011","3","CZE","Czechia","Import","NLD","Netherlands","080810","Fruit, edible; apples, fresh",159700,159756.588
"2011-03-01","2011","3","CZE","Czechia","Import","ITA","Italy","080810","Fruit, edible; apples, fresh",3315800,2773677.866
"2011-03-01","2011","3","CZE","Czechia","Import","AUT","Austria","080810","Fruit, edible; apples, fresh",417200,377903.005
"2011-03-01","2011","3","CZE","Czechia","Import","POL","Poland","080810","Fruit, edible; apples, fresh",68300,65165.345
"2011-03-01","2011","3","CZE","Czechia","Import","SVK","Slovakia","080810","Fruit, edible; apples, fresh",825500,758549.814
"2011-03-01","2011","3","CZE","Czechia","Import","DEU","Germany","080810","Fruit, edible; apples, fresh",863500,790131.558
"2011-03-01","2011","3","CZE","Czechia","Import","DEU","Germany","0808","Apples, pears and quinces; fresh",1208700,1263521.742
"2011-03-01","2011","3","CZE","Czechia","Export","W00","World","080810","Fruit, edible; apples, fresh",2295000,2008786.505
"2011-03-01","2011","3","CZE","Czechia","Export","DEU","Germany","0808","Apples, pears and quinces; fresh",691800,368621.668
"2011-03-01","2011","3","CZE","Czechia","Export","POL","Poland","0808","Apples, pears and quinces; fresh",61200,42136.99
"2011-03-01","2011","3","CZE","Czechia","Export","ITA","Italy","0808","Apples, pears and quinces; fresh",65100,55436.04
"2011-03-01","2011","3","CZE","Czechia","Export","RUS","Russian Federation","0808","Apples, pears and quinces; fresh",299500,258155.559
"2011-03-01","2011","3","CZE","Czechia","Export","ROU","Romania","0808","Apples, pears and quinces; fresh",5700,7517.463
"2011-03-01","2011","3","CZE","Czechia","Export","HUN","Hungary","0808","Apples, pears and quinces; fresh",400,615.956
"2011-03-01","2011","3","CZE","Czechia","Export","RUS","Russian Federation","080810","Fruit, edible; apples, fresh",299500,258155.559
"2011-03-01","2011","3","CZE","Czechia","Export","ITA","Italy","080810","Fruit, edible; apples, fresh",63500,50368.402
