Číslo,Název odrůdy,Návrh názvu,Kód plodiny,Název plodiny,Latinský název plodiny
MAL33731,Muškátová reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33730,Nathusiovo holubí,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL14317,Nikoleta,Nikoleta,4071,Jabloň (plodová),Malus domestica Borkh.
MAL26865,Nubia,Nubia,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33729,Oldenburgovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00137,Ontario,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL24071,Opat Bruno,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20370,Oranienské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL08137,Orion,Orion,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13197,Panenské české,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20389,Panenské zlepšené,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13621,Parkerovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33728,Parména Strauwaldova,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33727,Parména zlatá,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33726,Pasecké vinné,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13199,Peasgoodovo,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33626,Petra,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL05695,Pidi,Pidi,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01106,Pilot,Pilot,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20379,Podzvičínské,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33725,Pogáč červený,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL01792,Produkta,Produkta,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00138,Průsvitné letní,Průsvitné letní,4071,Jabloň (plodová),Malus domestica Borkh.
MAL17752,Přeloučský šišák,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL20366,Punčové,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL04295,Pyrop,Pyrop,4071,Jabloň (plodová),Malus domestica Borkh.
MAL00476,Quinte,Quinte,4071,Jabloň (plodová),Malus domestica Borkh.
MAL03326,Rajka,Rajka,4071,Jabloň (plodová),Malus domestica Borkh.
MAL11661,Red Bohemia,Red Bohemia,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13225,Red Chief,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13226,Red Melba,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL07125,Red Topaz,Red Topaz,4071,Jabloň (plodová),Malus domestica Borkh.
MAL13714,Redcats,,4071,Jabloň (plodová),Malus domestica Borkh.
MAL33724,Rederova reneta,,4071,Jabloň (plodová),Malus domestica Borkh.
