"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AltQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","380","ITA","Italy","703","SVK","Slovakia","H6","HS","true","0808","Apples, pears and quinces; fresh","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8833","false","8","kg","8833","false","8833","false","0","false","13589","13113","13589","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","0","W00","World","276","DEU","Germany","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","278316","false","8","kg","278316","false","278316","false","0","false","282608","282038","282608","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","380","ITA","Italy","0","W00","World","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","213497","false","8","kg","213497","false","213497","false","0","false","270636","260882","270636","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","0","W00","World","528","NLD","Netherlands","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","51938","false","8","kg","51938","false","51938","false","0","false","57312","55931","57312","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","348","HUN","Hungary","348","HUN","Hungary","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","259116","false","8","kg","259116","false","259116","false","0","false","152712","149352","152712","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","X","Export","703","SVK","Slovakia","0","W00","World","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","260192.038","true","-1","N/A","0","false","260192.038","true","0","false",,"173065","173065","6","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","0","W00","World","348","HUN","Hungary","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","259116","false","8","kg","259116","false","259116","false","0","false","152712","149352","152712","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","40","AUT","Austria","0","W00","World","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","276376","false","8","kg","276376","false","276376","false","0","false","132739","132739","132739","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","380","ITA","Italy","703","SVK","Slovakia","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","8833","false","8","kg","8833","false","8833","false","0","false","13589","13113","13589","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","380","ITA","Italy","528","NLD","Netherlands","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","64","false","8","kg","64","false","64","false","0","false","100","96","100","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","380","ITA","Italy","276","DEU","Germany","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6700","false","8","kg","6700","false","6700","false","0","false","8264","7694","8264","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","251","FRA","France","0","W00","World","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1336","false","8","kg","1336","false","1336","false","0","false","2847","2736","2847","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","616","POL","Poland","616","POL","Poland","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2439220","false","8","kg","2439220","false","2439220","false","0","false","1028757","1028757","1028757","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","0","W00","World","380","ITA","Italy","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","197900","false","8","kg","197900","false","197900","false","0","false","248683","239979","248683","0","false","true"
"C","M","20230101","2023","1","202301","203","CZE","Czechia","M","Import","56","BEL","Belgium","0","W00","World","H6","HS","true","080810","Fruit, edible; apples, fresh","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","32235","false","8","kg","32235","false","32235","false","0","false","19389","18710","19389","0","false","true"
